clust,SAT,Top10,Accept,SFRatio,Expenses,GradRate
0,1262.5,78.5,40.083333333333336,12.833333333333334,22858.0,87.58333333333333
1,1061.5,38.75,70.0,19.25,9953.0,71.75
2,1362.7777777777778,90.55555555555556,24.333333333333332,9.666666666666666,41176.88888888889,92.22222222222223
